"X","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","Heating","HeatingQC","CentralAir","Electrical","GrLivArea","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Functional","FireplaceQu","GarageType","GarageFinish","GarageArea","GarageQual","PavedDrive","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","Central_AC_Heater","Log_GrLivArea","Log_LotArea","Qual_x_Area","Garage_x_Qual","House_Age","SalePrice","Remodel_Age","Garage_Age","ReviewSentiment","TotalArea","OutdoorArea","AboveBath","BsmtBath","HasFireplace","Fireplaces_cap2","GarageCars_cap4","Kitchen2plus","Qual_x_TotalArea","Cond_x_TotalArea","House_Age_x_TotalArea"
1,"119","RM",44.04455267,4032.236993,1,0,"IR1","HLS","Inside","Mod","Crawfor","Norm","Norm","TwnhsE","1Story",8,5,"Hip","CompShg","CemntBd","CmentBd","Stone",184.2253992,"Ex","PConc","Ex","Gd","GLQ",1475.525281,"Unf",0,123.6376451,"GasA","Ex",1,"SBrkr",1648.494522,2,"Ex",5,"Typ","Gd","Attchd","Fin",524.3194063,"TA","Y","Fa","MnPrv","Shed",0,"New","Partial",1,7.40822417,8.302324557,13187.956176,16,1,4173894,0,1,"3",4140.839629307,369.208303007,2,1.5,1,1,2,0,33126.717034456,20704.198146535,2870.21131420504
2,"51","RL",79.90137417,12441.08068,1,0,"Reg","HLS","Inside","Mod","Crawfor","Norm","Norm","1Fam","1.5Fin",5,6,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",0,"TA","CBlock","Gd","Mn","BLQ",600.7409185,"Unf",0,300.0246921,"GasA","TA",1,"SBrkr",1716.990491,2,"TA",7,"Typ","Gd","Attchd","Unf",408.1332995,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,7.448910568,9.42883961,8584.952455,5,66,410325,56,66,"0",3133.867932645,114.137950545,1.5,0,1,1,1,0,15669.339663225,18803.20759587,13176.9513665385
3,"60","RL",95.16941954,12319.987,1,0,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",0.467586022,"Gd","PConc","Ex","No","GLQ",989.1448342,"Unf",0,381.2534513,"GasA","Ex",1,"SBrkr",2698.208825,3,"Ex",8,"Typ","Gd","Attchd","RFn",865.5087255,"TA","Y","Fa","MnPrv","Shed",0,"New","Partial",1,7.900713981,9.419059348,24283.879425,27,0,3998597,0,0,"2",5123.117097163,199.029222663,2.5,1,1,1,3,0,46108.053874467,25615.585485815,0
4,"120","FV",29.80360868,5442.054557,1,1,"IR2","Lvl","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","1Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",0,"Gd","PConc","Gd","No","Unf",0,"Unf",0,1548.950822,"GasA","Ex",1,"SBrkr",1552.757749,2,"Gd",5,"Typ","Gd","Attchd","Fin",525.6813705,"TA","Y","Fa","MnPrv","Shed",0,"New","Partial",1,7.34843163,8.602095682,12422.061992,16,1,2524136,0,0,"1",3733.327345952,103.281676452,2.5,0,0,0,2,0,29866.618767616,18666.63672976,2587.74532395397
5,"60","RL",77.81145503,9149.576246,1,0,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",0,"Gd","PConc","Gd","Gd","Unf",0,"Unf",0,875.1342447,"GasA","Ex",1,"SBrkr",1807.013534,3,"Gd",7,"Typ","Gd","Attchd","RFn",580.2622377,"TA","Y","Fa","MnPrv","Shed",0,"WD","Normal",1,7.499984027,9.121572134,12649.094738,14,2,1200111,1,2,"2",3534.370835401,275.554452101,2.5,0,0,0,2,0,24740.595847807,17671.854177005,3882.90323248171
6,"160","FV",30.26167074,3026.179082,1,1,"Reg","Lvl","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",5.038262259,"Gd","PConc","Gd","No","Unf",0,"Unf",0,688.0917399,"GasA","Ex",1,"SBrkr",1388.179548,2,"Gd",5,"Typ","Gd","Detchd","Unf",542.7278012,"TA","Y","Fa","MnPrv","Shed",5.2250923,"WD","Abnorml",1,7.236468599,8.015386469,9717.256836,14,1,512243,1,1,"0",2720.158259751,102.295690651,2,0,0,0,2,0,19041.107818257,13600.791298755,1885.47002842325
7,"49","RL",60.54784099,9688.730921,1,0,"Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",5,7,"Gable","CompShg","AsbShng","AsbShng","BrkFace",0.664021748,"TA","BrkTil","TA","No","BLQ",386.9467785,"Unf",1.490674713,395.9315135,"GasA","Gd",1,"SBrkr",1217.028391,4,"TA",7,"Typ","Gd","Attchd","Unf",392.5175329,"TA","Y","Fa","MnPrv","Shed",2.149507599,"WD","Normal",1,7.104988758,9.178821936,6085.141955,5,83,682652,56,41,"3",2626.5258442,235.8274985,1,1,0,0,1,0,13132.629221,18385.6809094,11637.6548330775
8,"60","RL",72.90628215,9037.740087,1,0,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",319.4468484,"Gd","PConc","Gd","Mn","GLQ",661.2742141,"Unf",0.009200165,345.7640327,"GasA","Ex",1,"SBrkr",1854.272732,3,"Gd",7,"Typ","TA","Attchd","Fin",658.4872306,"TA","Y","Fa","GdPrv","Shed",1.781350528,"WD","Normal",1,7.52578699,9.109275073,14834.181856,24,9,937402,8,9,"-1",3848.189071996,330.423358396,2.5,0,1,2,3,0,30785.512575968,19240.94535998,8860.78279220058
9,"60","FV",78.95366346,10617.88911,1,0,"IR1","Lvl","Corner","Gtl","Somerst","Norm","Norm","1Fam","2Story",7,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",513.1566357,"TA","PConc","TA","No","GLQ",685.0779141,"Unf",0.401722897,177.5509302,"GasA","Ex",1,"SBrkr",1793.271367,3,"TA",7,"Typ","TA","Attchd","Fin",544.3143337,"TA","Y","Fa","MnPrv","Shed",9.592677545,"WD","Normal",1,7.492354295,9.270389686,12552.899569,14,7,854940,7,7,"2",3191.354613975,1.449399775,2.5,1,1,1,2,0,22339.482297825,15956.773069875,6636.23535853123
10,"20","RL",60.30134111,11111.47272,1,0,"Reg","Low","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,7,"Gable","CompShg","MetalSd","MetalSd","BrkFace",0.764688543,"TA","CBlock","TA","No","GLQ",2.889928276,"Unf",0,5.560414178,"GasA","Ex",1,"SBrkr",932.779934,2,"Gd",6,"Typ","Gd","Detchd","Unf",308.0708941,"TA","Y","Fa","MnPrv","Shed",3.640451947,"WD","Abnorml",0,6.839240794,9.315823425,3731.119736,4,64,12994,4,64,"-2",1244.169380566,3.318552466,1,0,0,0,1,0,4976.677522264,8709.185663962,5193.64482382865
